,Title,Description,label
133,Mads Mikkelsen says it’s an “enormous honour” to be in ‘Indiana Jones 5’,"Actor Mads Mikkelsen has said it's an ""enormous honour"" to be in the upcoming new Indiana Jones film, India Jones and the Dial of Destiny.",indianajones
282,Long Range Box Office Forecast: BARBIE and OPPENHEIMER,"One of the most hotly debated head-to-head box office matchups of the year is just four weeks away. While much could change over the next month, here's how Greta Gerwig's Barbie and Christopher Nolan's Oppenheimer are shaping up in preliminary tracking.",barbie
38,Harrison Ford Endorses Punching Nazis Like Indiana Jones Does,The Indiana Jones and the Dial of Destiny star comments on the character's modern implications.,indianajones
13,I Can’t Stop Laughing at Guys Mad Because the Barbie Movie Is Too “Woke”,They’ve had “Kenough.”,barbie
16,Mission: Impossible 7 resolves mystery about Vanessa Kirby's White Widow,"White Widow explained - Vanessa Kirby returns as the White Widow in Mission: Impossible 7, but which previous character is she related to?",missionimpossible
129,What the viral AI-generated ‘Barbenheimer’ trailer says about generative AI hype | The AI Beat,Here are three things a viral AI-generated 'Barbenheimer' trailer says about the state of generative AI right now.,barbie
90,‘Oppenheimer’ Cast Leaves London Premiere Before Screening As SAG-AFTRA’s Official Strike Call Looms,"Oppenheimer director Christopher Nolan told the crowd at the film's London premiere that the cast of his film had left and are ""off to write their picket signs""",oppenheimer
48,Ken's Journey in Barbie Is a Story About Male Fragility,"Along with Don't Worry Darling and Promising Young Woman, Barbie asks what to do with the modern man who feels emasculated by women's power.",barbie
48,‘Oppenheimer’s Cillian Murphy On Why He Likes To See Christopher Nolan Films Without Him In Them & Why He Adores ‘Interstellar’,Cillian Murphy is talking about his favorite Christopher Nolan film without him and why he likes watching films by the 'Oppenheimer' director where he's not in them.,oppenheimer
71,‘A Compassionate Spy’: Footnote to ‘Oppenheimer’,"Documentary tells the story of physicist Ted Hall, the youngest scientist to work on the Manhattan Project, and a spy.",oppenheimer
145,How to Watch ‘Indiana Jones and the Dial of Destiny’,Looking to watch ‘Indiana Jones and the Dial of Destiny’ starring Harrison Ford. Here's where you can stream and watch the final Indiana Jones film.,indianajones
146,Indiana Jones 5: Dial of Destiny defended from criticism over ‘unrealistic’ ending,‘Have any of these people seen an Indiana Jones film before?’ one viewer asked,indianajones
129,Shea Whigham on the Common Thread Between ‘Mission: Impossible’ and ‘Spider-Man: Across the Spider-Verse’,"Mission Impossible star Shea Whigham talks how he joined Dead Reckoning, and his most memorable moment with Tom Cruise.",missionimpossible
98,'Indiana Jones and the Dial of Destiny' review: Harrison Ford saddles up one more time,"“Indiana Jones and the Dial of Destiny” avoids the curse that befell its even-numbered predecessors, so score it 1,3,5,2,4, with this fifth adventure – the first not directed by Steven Spielberg – trailing the best two but ranking ahead of the others, especially “Kingdom of the Crystal Skull” in 2008. Feeling the years and the miles, Harrison Ford cracks the whip for the last time, in a film that offers the requisite thrills and proves fairly emotional before it’s over.",indianajones
35,Will There Be a Barbie Sequel?,"""It could go a million different directions,"" star Margot Robbie said of a possible second Barbie movie.",barbie
74,"Clearly running out of things to blame on James Gunn, he’s now getting blasted for the trailers that play before ‘Blue Beetle’",It's the default option for any shred of DC dismay.,bluebeetle
122,Barbie releases new teaser trailer as tickets go on sale,Barbie has released a brand new teaser trailer as tickets go on sale in the US.,barbie
46,"Movie review: ‘Mutant Mayhem’ a fresh, authentic take on the ninja turtles","The animation style doesn’t quite nod to comic books, but rather looks like a messy drawing that a fan might scribble in a notebook, with lopsided heads and visible drawing lines, as if done by crayon or pastel.",tmnt
110,Robert Downey Jr. Praises Cillian Murphy for His Role in ‘Oppenheimer’: “I Have Never Witnessed a Greater Sacrifice”,'Oppenheimer' stars Robert Downey Jr.,oppenheimer
116,"Mattel wasn't thrilled about that 'Barbie' fascist joke, according to director Greta Gerwig","Greta Gerwig said that her desire to keep a line calling Barbie a ""fascist"" in the film outweighed anyone else's desire to keep it out.",barbie
76,"Before You See the ""Barbie"" Movie, Get All the Details on Barbie's Long History","Here's everything to know about the real story behind Barbie, from her real name and age to her whether she has siblings.",barbie
21,Early word on 'Oppenheimer' is that it's horrifying,"Christopher Nolan's ""Oppenheimer,"" which filmed several scenes in the Bay Area, has drawn emotional reactions from early screenings.",oppenheimer
139,Mission Impossible: Paramount reckoning,"Paramount Global’s predicament is worthy of its successful “Mission: Impossible” franchise. The various parts of the entertainment conglomerate controlled by Shari Redstone are in theory worth far more than its $11 billion market capitalization suggests. Extracting the additional value, however, would be a formidable assignment for even the most highly skilled financial operatives.",missionimpossible
112,"Every Christopher Nolan Movie Ranked From Worst to Best, Including ‘Oppenheimer’","All 12 Christopher Nolan movies ranked, including 'The Dark Knight,' 'The Prestige,' 'Tenet' and 'Inception.'",oppenheimer
42,Indiana Jones 5 has set an unwanted record ahead of release,Indiana Jones and the Dial of Destiny﻿ has set an unwanted record on review aggregator website Rotten Tomatoes ahead of its release in cinemas next month.,indianajones
148,Is Indiana Jones and the Dial of Destiny the Last Movie?,"Here is the answer to whether Indiana Jones and the Dial of Destiny is the last Indiana Jones movie, per Harrison Ford & Kathleen Kennedy.",indianajones
36,Teenage Mutant Ninja Turtles: Mutant Mayhem – new clips!,Watch new clips from Teenage Mutant Ninja Turtles: Mutant Mayhem. Meet the baby turtles and Superfly!,tmnt
76,‘Oppenheimer’ and the TCU professor who helped build the bomb,"When I saw “Oppenheimer” last weekend, it reminded me of a story I had heard about a former TCU professor who had some involvement in the Manhattan Project.",oppenheimer
75,Mission: Impossible 7 director addresses Angela Bassett's absence,Mission: Impossible director Christopher McQuarrie has weighed in on Angela Bassett's absence from Dead Reckoning Part One.,missionimpossible
29,Lucasfilm Sued in Trademark Dispute Over Backpack in ‘Indiana Jones and the Dial of Destiny’,Lucasfilm has been roped into a legal battle between rival clothing companies over the backpack Indiana Jones wore.,indianajones
55,"‘Mission: Impossible 7’ First Reactions: Tom Cruise Conquers Critics With ‘Impeccably Made,’ ‘Exhilarating’ Action Film","The first reactions for ""Mission: Impossible - Dead Reckoning Part One"" are in after the Tom Cruise blockbuster's world premiere in Rome.",missionimpossible
119,"Barbenheimer: ‘Barbie’ Tracking for Beatific $70M- $80M Opening, Christopher Nolan’s ‘Oppenheimer’ Targets $40M",The two tentpoles open in North America over the July 21-23 weekend.,oppenheimer
316,"‘Oppenheimer’ Rises To $718M Global, ‘Barbie’ Basks In $1.28B, ‘Meg 2’ Chomps Past $300M; ‘Blue Beetle’ Scurries To $18M Overseas Start – International Box Office","This weekend saw milestones for Oppenheimer and Meg 2, continued success for Barbie and local-language movies as well as the entry of Blue Beetle",barbie
64,"Tom Cruise Wants to Keep Making ‘Mission: Impossible’ Movies Until He’s 80, Just Like Harrison Ford and Indiana Jones: ‘I Hope to Still Be Going’",Tom Cruise wants to play Ethan Hunt for as long as Harrison Ford played Indiana Jones.,missionimpossible
18,Shaunette Renée Wilson on the Thrilling Ride of ‘Indiana Jones and the Dial of Destiny’,"Shaunette Renée Wilson talks Cannes, ""Indiana Jones and the Dial of Destiny,"" and future projects.",indianajones
36,‘Indiana Jones and the Dial of Destiny’ will premiere early at Beloit Classic Cinemas,The Indiana Jones character is said to be based on Beloit explorer Roy Chapman Andrews.,indianajones
193,Barbie bonanza continues at the box office as Greta Gerwig film keeps breaking records,Greta Gerwig’s Barbie has continued to make at least $20m every day it’s been released,barbie
90,Toy Review: TMNT Mutant Mayhem Basic Turtles by Playmates,"The Mutant Mayhem basic Turtles give the kids a lot of bang for their buck, with a price point somehow still under ten dollars.",tmnt
291,Margot Robbie Told Studios in ‘Barbie’ Pitch Meetings That It Could ‘Make $1 Billion Dollars… Maybe I Was Overselling’,"Margot Robbie told studios that with the right director, the ""Barbie"" movie could be a one billion dollar grosser.",barbie
47,Weird Barbie's House Is the Best Home in the 'Barbie' Movie,Production designer Sarah Greenwood and set decorator Katie Spencer share how Weird Barbie's house was created for the Barbie movie. See behind-the-scenes pics.,barbie
124,"‘Barbie’ Banned, Pulled From Theaters - Inside the Magic","'Barbie' has officially been banned in one country, and looks set to be banned in another in the upcoming days.",barbie
237,Original ‘Barbie’ Writer Exited Sony’s Failed Movie Because ‘They Wanted a Girl-Boss Feminist Twist on Barbie’ and ‘That’s Not What Barbie Is’,"""Juno"" Oscar winner Diablo Cody was brought on to write Sony's ""Barbie"" movie, but the project failed.",barbie
13,Review: Oppenheimer is pure visual poetry,"Technically it's a biopic, but it doesn't play like one.",oppenheimer
294,How Barbie Took Over the World,"Here’s everything you need to know about how the Barbie movie came to be and the frenzy around its opening, from the soundtrack to the merchandise to the fashion.",barbie
9,Tom Cruise Fought His ‘Mission: Impossible 7’ Co-Star on Top of a Speeding Train at 60 Miles per Hour: ‘Trial By Fire’ Is ‘How Tom Likes to Do Things’,"Fighting on top of a speeding train is just another day on the ""Mission: Impossible - Dead Reckoning Part One"" set.",missionimpossible
299,Why Did ‘Barbie’ Bomb in South Korea?,The Barbie movie struggled at the box office in Korea due to a lack of cultural nostalgia attached to Barbies and a local anti-feminist movement.,barbie
182,‘Teenage Mutant Ninja Turtles’ movie: ‘Barbie’ for teenage boys,The funny and visually innovative animated film examines what it’s like to be a 15-year-old boy through the lens of a pop culture phenomenon.,barbie
34,Blue Beetle Popcorn Bucket: Where To Buy the Limited Edition Vessel,"Here's how to buy the Blue Beetle popcorn bucket, as well as the tin, plush, cup, and vessel at Cinemark theaters.",bluebeetle
56,Indiana Jones and the Dial of Destiny Is a Failure,"Indiana Jones and the Dial of Destiny is a fiasco for two reasons. Admittedly, one reason is purely personal, and so that’s on me.",indianajones
142,Does Indiana Jones and the Dial of Destiny Have a Post-Credits Scene?,A friendly PSA for everyone heading to theaters this weekend.,indianajones
39,Harrison Ford reflects on final day of filming Indiana Jones 5,"Indiana Jones and the Dial of Destiny marks Harrison Ford's final Indiana Jones movie, and he's reflected on his feelings on the final day of filming.",indianajones
135,Will there be an Indiana Jones 6?,"With Dial of Destiny now in cinemas, is that the last we'll see of Indiana Jones, or might the series continue?",indianajones
98,Christopher Nolan Has Earned Filmgoers’ Trust Like No Other Director,"Ever since the runaway success of “The Dark Knight,” the director has proven to audiences that there’s fun to be had in watching something cerebral—especially on a big scale.",oppenheimer
70,Teenage Mutant Ninja Turtles: Mutant Mayhem Review,"The animated film oozes confidence, energy, and heart, and the animated adventure represents a new high for the Turtles on the big screen.",tmnt
36,Tom Cruise praises his Mission Impossible 7 crew for their dedication: ‘I got an opportunity to really thank them all’,Tom Cruise has showered praise on his Mission Impossible crew for their efforts due to which the film could be completed during the pandemic. | Hollywood,missionimpossible
80,‘Teenage Mutant Ninja Turtles: Mutant Mayhem’ Final Trailer Spotlights the Rave Reviews,"The brand new animated TMNT movie from producer Seth Rogen, Teenage Mutant Ninja Turtles: Mutant Mayhem is headed to theaters in just one more week, and",tmnt
136,DC’s ‘Blue Beetle’ makes cinematic history,"New blockbuster, “Blue Beetle”, makes history as DC features a Latino superhero for the first time. CNN’s Rick Damagiella reports.",bluebeetle
130,"Tom Cruise speaks fluent Hindi during Mission Impossible Dead Reckoning Part One promotion, stunned fans says, ‘Too cute’","Tom Cruise stunned his fans in India as he spoke in Hindi while promoting his upcoming release, Mission: Impossible – Dead Reckoning Part One.",missionimpossible
255,'Barbie' box office: Movie on track to become highest grossing domestic film of the year,“Barbie” has broken numerous records since its July 21 opening and the summer blockbuster is close to breaking another one.,barbie
149,Plenty of blockbuster potential left this summer,"The summer movie season goes into high-gear in July, with the arrival of the seventh “Mission: Impossible” movie followed by the “Oppenheimer” and “Barbie” showdown on July 21. Not that you have to choose one or the other — as Tom Cruise said on Twitter, “I love a double feature, and it doesn’t get more explosive (or […]",tmnt
267,Barbie's billion-dollar box office validates Greta Gerwig's vision,Greta Gerwig’s movie earned gobs of money by showing us a Barbie world where both women and men want more,barbie
121,"Christopher Nolan’s Oppenheimer: A look at the scientist’s fascination with Hinduism, and why he quoted the Bhagavad Gita after the bomb was tested",Christopher Nolan's upcoming film has reawakened interest in nuclear physicist J Robert Oppenheimer's fascination with the Hindu religion.,oppenheimer
161,20 Best Quotes From the New Barbie Movie 2023,"These quotes from the new Barbie movie are iconic, hilarious, and inspirational! Read through the many lines that made the movie a success.",barbie
141,"AI Creates 'Barbenheimer' Trailer, Fans Demand Movie Next - Inside the Magic","Filmmakers created a viral sensation after using AI to design a live-action 'Barbenheimer' trailer, now fans are demanding more AI projects.",barbie
118,"Frost River Sues Lucasfilm, Filson Over ‘Indiana Jones’ Backpack","Indiana Jones returned to the screen this summer to settle old beefs, but made a new enemy in the process: Frost River gear company.",indianajones
81,Why Ke Huy Quan’s Short Round Isn’t in Indiana Jones and the Dial of Destiny,"For Dial of Destiny director/co-writer James Mangold, it was all about Indy’s predicament in the twilight of his life and which characters, new or old, would best serve that purpose from a storytelling perspective.",indianajones
8,Vanessa Kirby and Hayley Atwell Explain How ‘Mission: Impossible – Dead Reckoning’ Pulled Off That Thrilling Mask Sequence,'Mission: Impossible - Dead Reckoning' stars Vanessa Kirby and Hayley Atwell and editor Eddie Hamilton explain the franchise's thrilling mask reveal.,missionimpossible
155,How to Watch the 'Indiana Jones' Movies in Order,"Here's where you can watch all of the Indiana Jones movies in order, from 'Raiders of the Lost Ark' to 'Dial of Destiny'.",indianajones
0,"Box Office: ‘Mission: Impossible 7’ Falls Short of Expectations With $56 Million Debut, Collects $80 Million Over Five Days","""Mission: Impossible 7"" topped the box office but stopped short of setting a new franchise record.",missionimpossible
264,Peter Bart: ‘Barbie’ Has Box Office Floating On Pink Cloud With Its Fascinating Distractions,"Barbie is confounding: In addition to setting box office records, the movie has also inspired a flood of commentaries about its presumed ""message.""",barbie
23,Still Cruising: Tom premieres new ‘Mission Impossible’ adventure in Abu Dhabi,Tom Cruise has graced the red carpet in Abu Dhabi for the Middle Eastern premiere of “Mission: Impossible — Dead Reckoning Part One.”,missionimpossible
