,Title,Description,label
274,‘Barbie’ Box Office to the World: The Pandemic Is Officially Over,"With the biggest revenues since 2019, “Barbenheimer” gives the usual franchises a run for their money, selling out even predawn screenings.",barbie
91,Blue Beetle is being praised as DC’s best “post-Nolan” movie,"DC seems to have an unexpected success on their hands with Blue Beetle, the first Latino superhero movie that is getting raving early reviews.",bluebeetle
54,How Would You Rate WB's Latest DC Movie?,"Blue Beetle arrived in theaters on Friday, and despite a (mostly) positive reception from critics, Warner Bros.' latest DC Comics movie had a disappointing debut. What did you think? Let us know here.",bluebeetle
6, more than 3,000 theaters across the U.S. and Canada offered patrons the chance to see any movie in the theater,bluebeetle
36,The Darkest Memes of the Barbie-Oppenheimer Double Feature,The internet is at its best and its worst after it was announced that a film about the making of the atomic bomb would debut on the same day as Barbie.,oppenheimer
18,Christopher Nolan and the ‘Oppenheimer’ cast discuss the atomic bomb and its chilling echoes today: ‘Humanity can only deal with one apocalypse at a time’,Christopher Nolan wants us to be wary of nuclear threat – and he’s not the only one.,oppenheimer
34,Tom Cruise hints about the future of Mission: Impossible,Cruise was 34 when he first played super spy Ethan Hunt,missionimpossible
11,"Could ‘Oppenheimer’ Finally Win Christopher Nolan, Cillian Murphy and Robert Downey Jr. Oscars?","""Oppenheimer"" could be a major Oscars player for Christopher Nolan, and stars Cillian Murphy, Robert Downey Jr and Emily Blunt.",oppenheimer
40,"What to Know About Ruth Handler, the Creator of Barbie",Here's what to know about the controversial founder of the iconic doll.,barbie
79,Dial of Destiny Team Spent Three Years on What Fans Now Call the 'AI Sequence at the Beginning of Indiana Jones',"Indiana Jones and the Dial of Destiny director James Mangold has revealed that the team worked on the movie's opening sequence for three years, but some are now referring to it as the ""AI sequence"".",indianajones
71,Is the godlike AI in ‘Mission: Impossible’ realistic? I asked an expert.,All-powerful and murderous artificial intelligence is just fiction...right?,missionimpossible
110,Naoki Yoshida Is Wearing a TMNT: Mutant Mayhem Shirt and Final Fantasy 14 Fans Want to Know Why,"While Final Fantasy 14 director Naoki Yoshida may just be a fan of the Teenage Mutant Ninja Turtles, the TMNT: Mutant Mayhem shirt he was wearing during the Final Fantasy 14 Fan Fest keynote has led fans to believe he is teasing something more.",tmnt
95,Billie Eilish Previews ‘What Was I Made For?’ in New ‘Barbie’ Teaser,"Billie Eilish shared a new teaser clip from 'Barbie,' which is soundtracked by her song 'What Was I Made For?'",barbie
86,Here’s when and where you can watch Shah Rukh Khan-starrer Jawan trailer,Shah Rukh Khan-starrer Jawan trailer will be unveiled alongside the release of Mission Impossible: Dead Reckoning Part One in theatres.,missionimpossible
140,Review VF – Blue Beetle Infinite,"Ce mois-ci, le film Blue Beetle se pose au cinéma tel le scarabée Chrysochus cobaltinus, et Urban Comics profite de coup de projecteur pour nous proposer un",bluebeetle
55,Naoki Yoshida Is Wearing a TMNT: Mutant Mayhem Shirt and Final Fantasy 14 Fans Want to Know Why,"While Final Fantasy 14 director Naoki Yoshida may just be a fan of the Teenage Mutant Ninja Turtles, the TMNT: Mutant Mayhem shirt he was wearing during the Final Fantasy 14 Fan Fest keynote has led fans to believe he is teasing something more.",tmnt
51,"Movie review: Nostalgic, yes, but ‘Indiana Jones and the Dial of Destiny’ lacks adventure",This dose of “Indiana Jones” is a disappointingly diluted version of this favorite hero.,indianajones
71,Is There an Ahsoka Episode 4 End Credits Scene or Post-Credit Sequence?,Here is the need-to-know info about a potential Ahsoka episode 4 end credits scene. Is there a post-credit sequence after the credits?,bluebeetle
108,How Barbie Took Over the World,"Here’s everything you need to know about how the Barbie movie came to be and the frenzy around its opening, from the soundtrack to the merchandise to the fashion.",barbie
1,Does Teenage Mutant Ninja Turtles: Mutant Mayhem Have a Post-Credits Scene?,The animated reboot 'Teenage Mutant Ninja Turtles: Mutant Mayhem' teases the return of an old villain in a mid-credits sequence. Here's what to know.,tmnt
152,"Blue Beetle's Xolo Maridueña on New DC Universe, Cobra Kai Season 6","'Blue Beetle' star Xolo Maridueña discusses playing Jaime Reyes in the new superhero film, the future of the DC Universe, and 'Cobra Kai' ending with Season 6.",bluebeetle
29,"Cillian Murphy’s 10 Best Performances, Ranked: From ‘Peaky Blinders’ to ‘Oppenheimer’","Now starring in Christopher Nolan's ""Oppenheimer,"" Cillian Murphy's movie and TV show roles include ""Batman Begins,"" ""Inception,"" ""Peaky Blinders,"" and more.",oppenheimer
100,"Indiana Jones hits theaters for one last adventure, but box office prospects look shaky","Box office analysts predict Disney's ""Indiana Jones and the Dial of Destiny"" will open to between $60 million and $65 million at the domestic box office.",indianajones
112,Shia LaBeouf is missing from ‘Indiana Jones: Dial of Destiny’ — here’s why,"""Indiana Jones and the Dial of Destiny"" has finally swung its way into theaters. Indiana's son, Mutt Williams, played by Shia LaBeouf, appeared in the series' fourth flick, 2008's ""Kingdom of the Crystal Skull."" But the character — and LaBeouf — are nowhere to be found in the franchise's newest installment.",indianajones
127,Matthew Modine On Working With Christopher Nolan: “He’s Like An Orchestra Conductor”,"Movie interview, Matthew Modine: The actor talks about filming Oppenheimer, Stranger Things, and his recent documentary on the atomic tests.",oppenheimer
39,Why does the Barbie movie have Republicans in such a tizzy?,"On issue after issue, Republicans have fought to undermine Barbie’s motto: ‘We girls can do anything’",barbie
164,People Love This 1 Line From 'Barbie.' It Makes Me Absolutely Furious.,"""The line conveys a message that seems at odds with the rest of the film.""",barbie
248,‘Barbie’s’ Big Payday: Margot Robbie Will Earn $50 Million in Salary and Box Office Bonuses (EXCLUSIVE),Margot Robbie will earn $50 million in salary and box office bonuses for her role in 'Barbie.',barbie
82,Teenage Mutant Ninja Turtles: Mutant Mayhem Exclusive Clip,"After years of being sheltered from the human world, the Turtle brothers set out to win the hearts of New Yorkers and be accepted as normal teenagers through heroic acts. Their new friend April O’Neil helps them take on a mysterious crime syndicate, but they soon get in over their heads when an army of mutants is unleashed upon them.
The voice includes Micah Abbey as Donatello, Shamon Brown Jr. as Michelangelo,  Nicolas Cantu as Leonardo, and Brady Noon as Raphael.
Teenage Mutant Ninja Turtles: Mutant Mayhem opens in theaters August 2.",tmnt
103,Barbie Movie Ending Explained: The Film's Final Joke Is a Meaningful Lesson,Here's what happens at the end of the 'Barbie' movie—and why it means so much.,barbie
4,"Box Office: ‘Barbie’ Opens to Record-Setting $155 Million, ‘Oppenheimer’ Shatters Expectations With $80 Million Debut","""Barbie"" and ""Oppenheimer"" shattered expectations, fueling the fourth-biggest box office weekend in history.",oppenheimer
46,Find out how many Crores Tom Cruise charged for Mission Impossible 7,Tom Cruise's fees for Mission Impossible 7 also include a percentage of the box office profits. The actor is also boarded as a co-producer.,missionimpossible
67,"Dial of Destiny soundtrack: All songs, plus John Williams score","All the songs on the Indiana jones 5 soundtrack, plus details of the John Williams Dial of Destiny score.",indianajones
132,"Wait, Is Ryan Gosling Really Singing on ""I’m Just Ken""?","In the new 'Barbie' movie, Ryan Gosling's Ken belts out a song appropriately titled ""I'm Just Ken."" Is Gosling really singing the song? Here's what we know.",barbie
9,‘Barbenheimer’s’ Global Box Office Battle: How the Two Blockbusters Are Performing in Countries Around the World,"A breakdown of how 'Barbie' and 'Oppenheimer' are performing around the world, as both movies enter their fourth weekends of release.",oppenheimer
41,DC’s ‘Blue Beetle’ makes cinematic history,"New blockbuster, “Blue Beetle”, makes history as DC features a Latino superhero for the first time. CNN’s Rick Damagiella reports.",bluebeetle
308,"Weekend Box Office Forecast: BARBIE, OPPENHEIMER, TURTLES, and MEG 2 to Overshadow THE LAST VOYAGE OF THE DEMETER’s Debut","As summer rolls to a close, this weekend will be one of the quietest we've had for some time, with the market leaning mostly on the strength of holdover business while Universal debuts The Last Voyage of the Demeter.",barbie
96,'Barbenheimer' AI generated trailer becomes viral by smashing together 'Barbie' and 'Oppenheimer',"In an unexpected twist of creative brilliance, the worlds of Oppenheimer and Barbie have collided, thanks to the ingenious use of artificial intelligence. 
Meet ""Barbenheimer",barbie
135,Blue Beetle Popcorn Bucket: Where To Buy the Limited Edition Vessel,"Here's how to buy the Blue Beetle popcorn bucket, as well as the tin, plush, cup, and vessel at Cinemark theaters.",bluebeetle
105,REVIEW: Three New Cocktails From Indiana Jones: Den of Destiny at Disney’s Hollywood Studios,"The Indiana Jones: Den of Destiny opened today at Disney's Hollywood Studios, and it features a host of new drinks.",indianajones
89,Zack Snyder hyping up Blue Beetle is the most wholesome thing you'll see today,Zack Snyder has shared that he'll be seeing Blue Beetle,bluebeetle
105,“Oppenheimer” Cinematographer Hoyte van Hoytema on Making History With Christopher Nolan,"Cinematographer collaborator Hoyte van Hoytema, Christopher Nolan's longtime collaborator, on how they recreated the Trinity Test and more.",oppenheimer
100,‘Teenage Mutant Ninja Turtles: Splintered Fate’ #1 is more or less a well-drawn ad for a mobile game,"It's a good time to be a TMNT fan, but is this mobile game adaptation worth a look?",tmnt
62,Everything We Know About 'Superman: Legacy' - Inside the Magic,"Superman: Legacy has the weight of rebooting the entire DC Universe, and we're taking on the task of explaining what we know.",bluebeetle
120,Teenage Mutant Ninja Turtles: Mutant Mayhem & Howl's Moving Castle - Christ and Pop Culture,Kevin and Sarah review Teenage Mutant Ninja Turtles: Mutant Mayhem then the magical world of Miyazaki's Howl's Moving Castle.,tmnt
21,‘Indiana Jones And The Dial Of Destiny’ To Ring Up Around $60M Opening: Here’s Why – Early Box Office Outlook,"In the wake of world premiering in Cannes to lackluster film reviews at 50% Rotten, Disney/Lucasfilm's Indiana Jones and the Dial of Destiny is currently looking at a $60M+ domestic opening.",indianajones
272,"Record temperatures, plus Barbie, help to drive record movie box office","What are some of the most packed movie screenings at the Maya Cinemas Fresno 16 in Fresno, California, these days? “Oppenheimer?” The multiplex’s dozen daily showings of “Barbie?” Actually, it’s the matinees of both.",barbie
33,"‘Barbenheimer’ Stays Atop U.K. Box Office as ‘Meg 2,’ ‘TMNT’ Make Strong Debuts",'Barbie' and 'Oppenheimer' ruled the U.K. and Ireland box office for the third consecutive weekend with a combined $17 million.,tmnt
88,‘Indiana Jones 5’: It Took 100+ VFX Industrial Light and Magic Artists to De-Age Harrison Ford,"Over 100 VFX artists spent three years working on ""Indiana Jones 5"" to help de-age Harrison Ford.",indianajones
134,"Mission Impossible: Dead Reckoning Part One advance booking soars in India, likely to be Tom Cruise's biggest opener",Tom Cruise's spy thriller Mission: Impossible - Dead Reckoning Part One is expected to sell over 1.10 lakh tickets in advance booking in India.,missionimpossible
219,Barbie review: Does the movie live up to the hype?,"Stories about Barbie, Clarence Thomas, Andrew Tate, and more.",barbie
297,Barbie boosts weekend ticket sales at local theaters,The new Barbie movie starring Margot Robbie and Ryan Gosling is projected to be a box office hit. Millions of fans across the nation are heading to local theaters in droves to see the popular plastic doll come to life on the silver screen.,barbie
136,„Oppenheimer“ im Heimkino: Das Abbild einer Männerwelt?,"Seit Juli läuft der Film „Oppenheimer“ in den Kinos. Jetzt kommt der Blockbuster auf DVD und Blu-ray: Unsere Autorin findet, der Film sei zu männerdominiert.",oppenheimer
70,About That Time Indiana Jones Rode a Horse Through the Subway,"Everything we can’t stop loving, hating, and thinking about this week in pop culture.",indianajones
45,"'TMNT' Co-Creator Confirms Disappointing News for ""Last Ronin"" Fans - Inside the Magic","It might be a great week for 'TMNT' fans, but this is bad news.",tmnt
33,Barbie movie 2023: Why is everyone hyped for Barbie?,A Barbie aficionado and certified doll expert explains why life in plastic has suddenly become so fantastic.,barbie
27,"Cillian Murphy, playing Oppenheimer, finally gets to lead a Christopher Nolan film","The day Christopher Nolan called Cillian Murphy about his new film, “Oppenheimer,” Murphy hung up the phone in disbelief. The Irish actor has been a regular presence in Nolan films going back almost two decades. But he had always been a supporting player. This time Nolan wanted him to be the titular character, the iconic, charismatic, controversial theoretical physicist who oversaw the development of the atomic bomb during World War II. “Oppenheimer” opens in theaters on July 21 and features a starry cast including Emily Blunt, Matt Damon and Robert Downey Jr. Much of it remains shrouded in secrecy until then.",oppenheimer
92,"Latino Orgs Say Actors & Writers “Deserve A Deal That Protects Their Work & Livelihoods” Amid Strikes, Urges Support",Latino leaders are urging the support of striking actors and writers from underserved communities in a letter released on Day 100 of the WGA strike.,bluebeetle
111,Teenage Mutant Ninja Turtles: Mutant Mayhem director credits Spider-Verse with opening the door to unique animation,Teenage Mutant Ninja Turtles: Mutant Mayhem director Jeff Rowe credits Spider-Verse with opening the door to unique animation.,tmnt
53,Marc Maron blasts 'insecure' men who are offended by the 'Barbie' movie,"Marc Maron shared his opinion on men offended by Greta Gerwig's ""Barbie"" movie in a fiery new TikTok video.",barbie
97,On Set: Mission Impossible,KHOL film critic Jeff Counts reviews Tom Cruise's summer blockbuster Mission: Impossible Dead Reckoning Part One,missionimpossible
271,"‘Barbie’ Is Out Of The Box In A Big Way, But Can It Bring Comedy Back To The Oscars Too?","Warner Bros new summer comedy Barbie landed big laughs at its world premiere Sunday, but can it break Oscar's comedy curse and score with Academy?",barbie
83,‘Indiana Jones And The Dial Of Destiny’ Non-Spoiler Review | An Entertaining But Inconsequential Entry,"""ot quite the sendoff that may have imagined..."" Read our non-spoiler review of ‘Indiana Jones and the Dial of Destiny’!",indianajones
145,"Margot Robbie Thought ""They"" Would Never Let Her Make 'Barbie' - Inside the Magic",What was it about Greta Gerwig's Barbie script that made Margot Robbie think that it could never be produced? And why was she wrong?,barbie
68,‘Oppenheimer’ is a must-watch for everyone who works in AI and health care,"J. Robert Oppenheimer’s story offers particularly salient lessons for health care leaders, entrepreneurs, and policymakers.",oppenheimer
262,"Box Office: ‘Last Voyage of the Demeter’ Sinking After $2.6 Million Opening Day, ‘Barbie’ and ‘Oppenheimer’ Sail On","The Dracula horror movie ""Last Voyage of the Demeter"" is projecting a meagre $6.5 million opening as ""Barbie"" and ""Oppenheimer"" stay on top.",barbie
122,Inka Magnaye to voice scarab Khaji-da in PH release of ‘Blue Beetle’,"'It’s been one of my big dreams to be a canon part of a superhero world,' says Inka",bluebeetle
34,Indiana Jones and the Dial of Destiny director explains Shia LaBeouf’s absence,"‘There’s only so many people you can edge into a picture,’ director James Mangold said",indianajones
128,Haunted Mansion box office previews scare up a lackluster debut as Barbie and Oppenheimer continue to dominate cinemas,Disney's Haunted Mansion box office scares up a humdrum debut as Barbie and Oppenheimer continue to dominate cinemas.,barbie
106,5 Things to Do This Weekend,"Selections from the Weekend section, including a review of ""Teenage Mutant Ninja Turtles: Mutant Mayhem.""",tmnt
140,Indiana Jones and the Dial of Destiny movie review: Harrison Ford takes both fortune and glory,"Indiana Jones and the Dial of Destiny movie review: With Harrison Ford's rakish smile, his distinct old-world charm, his hat and his whip, still intact, we can't grudge Indiana Jones this indulgent goodbye.",indianajones
83,Which Supporting Characters in Oppenheimer Will Die of Radiation Poisoning?,"Let’s go one by one down the 70-person cast list of Christopher Nolan’s ‘Oppenheimer,’ from Cillian Murphy through Florence Pugh’s Jean Tatlock, until we find the most likely suspects.",oppenheimer
114,This Indiana Jones stunt mask is giving people nightmares,"A mask used for Harrison Ford's stunt double in Indiana Jones And The Dial Of Destiny has been described as ""horrifying"" by fans online.",indianajones
53,‘Teenage Mutant Ninja Turtles: Mutant Mayhem’,The director Jeff Rowe narrates a sequence from his animated film.,tmnt
7,Tom Cruise Speed-Flying at Over 50 Miles per Hour Left ‘Mission: Impossible 7’ Crew in ‘Absolute Terror’: One of the World’s ‘Most Dangerous Sports’,Tom Cruise learned to speed-fly at over 50 miles per hour for one stunt in “Mission: Impossible – Dead Reckoning Part One.”,missionimpossible
15,Seth Rogen did Teenage Mutant Ninja Turtles because Marvel scares him,"Seth Rogen, producer behind The Boys, Invincible, and Teenage Mutant Ninja Turtles: Mutant Mayhem, plans to stay far away from the Marvel and DC universes.",tmnt
107,‘Blue Beetle’ director Ángel Manuel Soto says the DC film is a ‘love letter to our ancestors’,The director has taken on a worldwide press tour alone as the rest of his cast and crew cannot promote the film due to the current Hollywood strikes.,bluebeetle
2,Tom Cruise Vows to ‘Always Fight for Big Theaters’ From Rome’s Spanish Steps at ‘Mission: Impossible 7’ World Premiere,Tom Cruise made an impassioned speech about cinema-going from Rome’s Spanish Steps at the world premiere of 'Mission: Impossible – Dead Reckoning.',missionimpossible
73,Mutant Mayhem is a grody and gorgeous reintroduction to the TMNT,Teenage Mutant Ninja Turtles: Mutant Mayhem knocks it out of the park with a straightforward story elevated by phenomenally inspired art direction and sharp action.,tmnt
119,"Events of the Week: ‘Blue Beetle,’ ‘Strays’ and More","Inside this week's biggest Hollywood premieres, parties and openings, including events for 'Blue Beetle,' 'Strays' and 'Ahsoka.",bluebeetle
134,Ford v. Technology: How James Mangold rebuilt the past for Indiana Jones and the Dial of Destiny,"Mangold could not have possibly conceived that he would one day be collaborating with his Raiders idols: Ford, Steven Spielberg, George Lucas, John Williams",indianajones
65,"The Fight for Imax: How Studios Beg and Barter to Get ‘Mission: Impossible,’ ‘Oppenheimer’ and More Blockbusters on Premium Screens","At the movies, there are tense negotiations between studios and Imax to secure all-important premium screens.",missionimpossible
12,The 'TMNT: Mutant Mayhem' Xbox Wireless Controller Smells Like Pizza,The 'TMNT: Mutant Mayhem' Xbox Wireless Controller Smells Like Pizza: Offered in four designs.,tmnt
56,A De-Aged Julia Roberts Was Considered for ‘Mission: Impossible 7’ Axed Cold Open: The VFX Bill ‘Would’ve Been as Expensive’ as the Train Stunt,"The director of ""Dead Reckoning"" considering reaching out to Julia Roberts to de-age her.",missionimpossible
173,‘Barbie’ Movie: The Cut Reviews,The ‘Barbie’ movie finally premiered on July 21 after months of Mattel marketing tie-ins and omnipresent pink promotion. The Cut’s staffers discuss what they thought of Greta Gerwig’s latest movie.,barbie
137,"What's new to streaming and theaters this week: 'Guardians, Vol. 3' to 'TMNT: Mutant Mayhem'","From ""Guardians of the Galaxy Vol. 3,"" to ""Teenage Mutant Ninja Turtles: Mutant Mayhem,"" to ""Heartstopper"" Season 2, here's everything new coming to streaming and theaters this week (August 4, 2023).",tmnt
192,‘Barbie’ movie is now set to be released in the United Arab Emirates,The United Arab Emirates has approved the release of the 'Barbie' movie after a 3-week delay over possible content issues.,barbie
5,Barbie and Oppenheimer Blow Up the Box Office,"With a combined take of $244.5 million domestically and nearly $537 million total worldwide, Barbenheimer has officially broken several box-office records.",oppenheimer
91,Christopher Nolan Forgot To Credit Over 80% Of VFX Crew On ‘Oppenheimer’,VFX workers get screwed by Hollywood yet again.,oppenheimer
84,Morally Uplifting TEENAGE MUTANT NINJA TURTLES Scores at Box Office,TEENAGE MUTANT NINJA TURTLES: MUTANT MAYHEM has made its mark at the box office despite heavy competition from movies like BARBIE and...,tmnt
77,"Barbie, Oppenheimer, Mission: Impossible 7, Wham! among July's must-see movies","Ethan Hunt attempts his craziest stunt yet, Greta Gerwig takes on the world's most famous Little Woman and Netflix brings back the blindfolds in new flicks coming to a screen near you.",missionimpossible
127,What's new to streaming and theaters this week: 'Blue Beetle' to 'Elemental',"Here's what's coming to streaming and theaters this week (August 18, 2023), from ""Blue Beetle,"" to ""Elemental,"" and ""No Hard Feelings.""",bluebeetle
14,” said Michael O’Leary, the newly installed president-CEO of NATO. “These numbers show us that the future of exhibition is strong,bluebeetle
123,"Christopher Nolan Tells the Story of J. Robert Oppenheimer, Partnering with NBCUniversal from the IMAX Screen to the Newsroom","The film soared past a record-breaking $180 million worldwide to a chorus of rave reviews, with filmmaker Paul Schrader calling it the ‘Best’ and ‘Most Important Film of This Century.’",oppenheimer
28,How Teenage Mutant Ninja Turtles: Mutant Mayhem Puts a Fresh Spin on the Franchise,"Actual teenagers and a fresh, wild art style mark a new era for the classic franchise in Teenage Mutant Ninja Turtles: Mutant Mayhem.",tmnt
125,Barbie and Mission Impossible – Dead Reckoning,"NoHo Arts District is L.A's entertainment hub. Filled with live theatre, bars, buzzing nightlife, restaurants, studios and so much more.",missionimpossible
44,TMNT: MUTANT MAYHEM - More Social Media Reactions Arrive After Paramount Screening,"Following a work-in-progress cut of the movie debuting at the Annecy Festival last week, Teenage Mutant Ninja Turtles: Mutant Mayhem screened for a select few at Paramount, and the reactions are in.",tmnt
115,Barbiemania: How Warner Bros. and Mattel Painted the World Pink and Created Marketing Magic,"'Barbie,' the new movie starring Margot Robbie, enjoyed one of the more memorable marketing campaigns in recent memory.",barbie
94,"Ryan Gosling sings his heart out as poor, overlooked Ken in latest ‘Barbie’ trailer","With the “Barbie” movie release date fast approaching, the latest teaser features Ryan Gosling’s Ken bemoaning life in his female companion’s shadow.",barbie
125,Has Japan banned the release of Christopher Nolan's Oppenheimer? Here's the truth,"Speculation has arisen over a potential ban on Christopher Nolan's film ""Oppenheimer"" in Japan due to sensitivities surrounding nuclear warfare | Hollywood",oppenheimer
91,‘Mission: Impossible’ for Tom Cruise: Meeting Hollywood Expectations,"The seventh film in the 27-year-old movie franchise was No. 1 at the box office, taking in $80 million over its first five days. But the movie industry was hoping for more.",missionimpossible
20,The Ninja Turtles Spoof 'Barbie' in Funny New 'Mutant Mayhem' Spot,"""Do these people work? How can thy afford all of this?"" Paramount has released a very fun new TV spot for Teenage Mutant Ninja Turtles: Mutant Mayhem that riffs on the new Barbie movie opening this week. The spot is called ""Our Dream House is a Sewer"" (😂😂) and includes plastic toy versions of the",tmnt
1,"Christopher Nolan's 'Oppenheimer' Is Terrifying, But Irresistible","Nolan's latest film, if not his best, is certainly among his grandest spectacles—one that is immense, assaultive, and full of eye-enveloping abstraction.",oppenheimer
143,Mark Your Calendars: ‘Barbenheimer’ Is Coming,The “Barbie” and “Oppenheimer” movies look very different. But some fans are planning a double feature for their release on July 21.,barbie
93,WATCH: First 'Wonka' movie trailer released,"The first trailer for ""Wonka"" was released Tuesday, which may provide some answers about the fictional chocolatier's motivations.",barbie
120,‘Mission: Impossible’,"“Mission: Impossible — Dead Reckoning Part One” is rated PG-13 for intense sequences of violence and action, some language and suggestive material.",missionimpossible
62,Tom Cruise Urges Fans to See Rival Summer Movies ‘Barbie’ and ‘Oppenheimer’,"Tom Cruise, star of 'Mission Impossible — Dead Reckoning, Part One' is urging fans to see rival movies 'Barbie' and 'Oppenheimer' this summer.",missionimpossible
56,Guest Column: How Greta Gerwig’s ‘Barbie’ Tends to Her Superpowers,'Tiny Shoulders' director Andrea Nevins discusses the themes in the new Barbie film.,barbie
36,Mark Ronson Breaks Down the 'Barbie' Soundtrack,Producer Mark Ronson breaks down the process of bringing together a glittery group of artists and nailing the sound to accompany the iconic doll.,barbie
126,Will ‘Oppenheimer’ be the ticket to Christopher Nolan’s elusive first Oscar?,"The filmmaker has been nominated five times over the last 22 years, but he has yet to win.",oppenheimer
20,‘Strays’ Stumbles at Box Office Without Its Stars’ Promotion,"The R-rated comedy opened to a fifth place showing this weekend, while the comic book movie “Blue Beetle” came in at No. 1. Both were hurt by the actors’ strike.",bluebeetle
157,Pizza Party! One Final Trailer for Animated 'TMNT: Mutant Mayhem',"""We're brothers - we fight together!!"" Paramount has revealed a final trailer for the Teenage Mutant Ninja Turtles: Mutant Mayhem animated movie, landing in theaters next week!! Get the pizza ready. I'm looking forward to this so much!! It's going to be a blast. After years of being sheltered from the human world, the Turtle",tmnt
88,"Book Review: ‘Red, White & Royal Blue’ by Casey McQuiston","Brian Kitson reviews the Red, White & Royal Blue novel by Casey McQuiston. Check out the film version on Prime Video!",bluebeetle
82,‘Blue Beetle’ Review: Familia es el Corazón y Alma,"Anthony Flagg shares his thoughts on DC's newest hero in his Blue Beetle Spoiler review, starring Xolo Maridueña and George Lopez!",bluebeetle
136,Indiana Jones and the Dial of Destiny,"Since its inception in 1981, Indiana Jones has been a staple of my cinematic fandom. Raiders of the Lost Ark is widely considered one of the greatest films ever made and one of my favorites. Going through the landscape of adventure films throughout time, the first three adventures with Indiana Jones were near perfect, then came 2008.",indianajones
156,Hollywood Scandal: Barbie Movie Corvette Only Half Size!,And… is it autonomous? Movie comes out July 21.,barbie
31,‘Indiana Jones 5’ Director James Mangold on ‘Pinch-Hitting’ for Spielberg and Refusing Fan Service: Franchises Have Become ‘Large-Scale Advertising’,"""Indiana Jones and the Dial of Destiny"" director James Mangold also discusses taking on ""Swamp Thing"" and ""Star Wars.""",indianajones
102,"Box Office: ‘TMNT,’ ‘Meg 2’ Racing Against ‘Oppenheimer’ for Second as ‘Barbie’ Reign Continues","""Teenage Mutant Ninja Turtles: Mutant Mayhem"" and ""Meg 2: The Trench"" openings look to take second from ""Oppenheimer,"" as ""Barbie"" stays on top.",tmnt
57,Amy Schumer reacts to ‘Barbie' movie after dropping out of earlier version,Amy Schumer is sharing what she thinks of the new “Barbie” movie after being cast in and then dropping out of an earlier version of the film.,barbie
103,"Cillian Murphy on Oppenheimer, sex scenes and self-doubt: ‘I’m stubborn and lacking in confidence – a terrible combination’","If Peaky Blinders made the Irish actor a household name, will Christopher Nolan’s nuclear blockbuster send him into the stratosphere? He talks about extreme weight loss, hating school and why his next character won’t be a smoker",oppenheimer
213,The Dance Delight in ‘Barbie’ Belongs to the Kens,"The most majestic dance in “Barbie” is an emotional release for the Kens, but in subtle ways movement touches, and enhances, everything in the movie.",barbie
47,‘Oppenheimer’ Extends Imax 70mm Run Due to Popular Demand (EXCLUSIVE),"""Oppenheimer"" has extended its 70mm run at Imax theaters nationwide through the end of August due to popular demand.",oppenheimer
313,"‘Barbenheimer’ movies hit box office, hundreds flock to Dickinson County theatres for opening night showings","The ""Barbie"" movie starring Margot Robbie hits box offices the same weekend as the historical World War II film, ""Oppenheimer.""",barbie
154,Indiana Jones 5 Director 'Not Interested' in Carrying on the Franchise,"Indiana Jones and the Dial of Destiny director James Mangold won't return for another Indy film as he's ""not interested"" in continuing the franchise.",indianajones
98,"‘Gran Turismo’ Revs $17.4M, ‘Barbie’ $15.1M In Warner Bros & Sony Battle During National Cinema Day Weekend – Box Office","'Gran Turismo' Looks to win weekend with $17.3M, however, Warners believes Sony is bloating their grosses. 'Barbie' expected to see $17.1M due to National Cinema Day.",bluebeetle
242,Daily Wire Host Michael Knowles Genuinely Loved the ‘Barbie’ Movie: Ben Shapiro ‘Is Completely Wrong’ (Video),"Michael Knowles openly professes a long laundry list of conservative beliefs -- and a gushing love for Greta Gerwig and the ""Barbie"" movie.",barbie
28,How Tom Cruise and Simon Pegg got in shape for Mission Impossible 7,"Celebrity PT Nick Lower shares his experiences of training Simon Pegg for Mission Impossible 7, watching the stunt team do their thing, and absorbing all he can from Tom Cruise's workouts.",missionimpossible
27,TMNT director teases that Shredder will appear in future movies,"Teenage Mutant Ninja Turtles: Mutant Mayhem co-director Jeff Rowe says he'd be ""100%"" down to make a sequel in new SFX interview",tmnt
17,Teenage Mutant Ninja Turtles: Mutant Mayhem,"Check out the final trailer for Teenage Mutant Ninja Turtles: Mutant Mayhem, an upcoming animated film starring Micah Abbey, Shamon Brown Jr., Hannibal Buress, Rose Byrne, Nicolas Cantu, John Cena, Jackie Chan, Ice Cube, Natasia Demetriou, Ayo Edebiri, Giancarlo Esposito, Post Malone, Brady Noon, Seth Rogen, Paul Rudd, and Maya Rudolph.After years of being sheltered from the human world, the Turtle brothers set out to win the hearts of New Yorkers and be accepted as normal teenagers through heroic acts. Their new friend April O’Neil helps them take on a mysterious crime syndicate, but they soon get in over their heads when an army of mutants is unleashed upon them. 
The film's screenplay is by Seth Rogen & Evan Goldberg & Jeff Rowe and Dan Hernandez & Benji Samit. The story is by Brendan O'Brien and Seth Rogen & Evan Goldberg & Jeff Rowe. It is produced by Seth Rogen, p.g.a., Evan Goldberg, p.g.a., and James Weaver, p.g.a., and executive producers are Ramsay McBean and Josh Fagen.Teenage Mutant Ninja Turtles: Mutant Mayhem, directed by Jeff Rowe and co-directed by Kyler Spears, opens in UK cinemas on July 31, and in US theaters on August 2, 2023.",tmnt
